●  Where a vehicle is used by an organization, but not owned, categorize of emissions (Scope 1, 2, or 3) depend on the lease type (finance/capital or operating) and chosen boundary approach (financial, operational, or equity control). Finance leases treat the vehicle as owned, placing fuel use in Scope 1 and electricity in Scope 2. Operating leases hinge on the boundary approach: equity/financial control puts all emissions in Scope 3, while operational control categorizes fuel as Scope 1 and electricity as Scope 2. Refer to GHG Protocol's "Business travel-land" or "Managed assets-vehicles" for Scope 3 reporting factors.  Information on type of lease can be understood directly from the lease agreement or based on how the asset is recorded on the organisations balance sheet.									
● For vehicles using electricity (i.e. Plug-in Hybrid Electric Vehicles / Range-Extended Electric Vehicles and Battery Electric Vehicles) the emission factors presented here only include the conventional fuel use (i.e. petrol or diesel), where relevant, and you should IN ADDITION use the emission factors provided in the 'UK electricity for EVs' and 'UK electricity T&D for EVs' tables to calculate the emissions due to the average electricity consumption. A more detailed methodology for calculating emissions from vehicles using electricity can be found in the FAQs at the bottom of this tab.									
● All of the factors presented for motorbikes are for petrol									
● Please see the FAQs at the bottom of this page for further information on the conversion factors for passenger vehicles. 									
Example of calculating emissions from passenger vehicles

									
Company E reports the emissions from the mileage travelled in its company cars, a Scope 1 emission.									
Company E uses conversion factors appropriate to each of its cars. For example, for its 1.6-litre diesel car, it uses a 'medium car: diesel' factor. It owns some vehicles for which engine size and fuel type data are not available, so it uses the 'average car: unknown fuel type' factor. 									
In some cases, the company knows what model the car is. In this case, it may choose to apply a conversion factor by market segment instead (found in the 'cars (by market segment)' table).  									
The activity data (km) is multiplied by the appropriate conversion factors to produce company E's passenger vehicle emissions.									
			Diesel				Petrol		
Activity	Type	Unit	kg CO2e	kg CO2e of CO2 per unit	kg CO2e of CH4 per unit	kg CO2e of N2O per unit	kg CO2e	kg CO2e of CO2 per unit	kg CO2e of CH4 per unit
Cars (by market segment)	Mini	km	0.10996	0.10828	4.6368e-06	0.00167	0.13063	0.12995	0.00036
		miles	0.17696	0.17425	1e-05	0.00269	0.21022	0.20913	0.00057
	Supermini	km	0.13452	0.13284	4.6368e-06	0.00167	0.14276	0.14208	0.00036
		miles	0.21649	0.21378	1e-05	0.00269	0.22974	0.22865	0.00057
	Lower medium	km	0.14517	0.14349	4.6368e-06	0.00167	0.16123	0.16055	0.00036
		miles	0.23363	0.23092	1e-05	0.00269	0.25948	0.25839	0.00057
	Upper medium	km	0.16194	0.16026	4.6368e-06	0.00167	0.18535	0.18467	0.00036
		miles	0.26063	0.25792	1e-05	0.00269	0.29828	0.29719	0.00057
	Executive	km	0.17088	0.1692	4.6368e-06	0.00167	0.20073	0.20005	0.00036
		miles	0.27501	0.2723	1e-05	0.00269	0.32304	0.32195	0.00057
	Luxury	km	0.20632	0.20464	4.6368e-06	0.00167	0.30752	0.30684	0.00036
		miles	0.33205	0.32934	1e-05	0.00269	0.4949	0.49381	0.00057
	Sports	km	0.17323	0.17155	4.6368e-06	0.00167	0.23396	0.23328	0.00036
		miles	0.27879	0.27608	1e-05	0.00269	0.37652	0.37543	0.00057
	Dual purpose 4X4	km	0.19973	0.19805	4.6368e-06	0.00167	0.19219	0.19151	0.00036
		miles	0.32145	0.31874	1e-05	0.00269	0.3093	0.30821	0.00057
	MPV	km	0.18072	0.17904	4.6368e-06	0.00167	0.17903	0.17835	0.00036
		miles	0.29085	0.28814	1e-05	0.00269	0.28812	0.28703	0.00057
			Diesel				Petrol		
Activity	Type	Unit	kg CO2e	kg CO2e of CO2 per unit	kg CO2e of CH4 per unit	kg CO2e of N2O per unit	kg CO2e	kg CO2e of CO2 per unit	kg CO2e of CH4 per unit
Cars (by size)	Small car	km	0.1434	0.14172	4.6368e-06	0.00167	0.14308	0.1424	0.00036
		miles	0.23078	0.22807	1e-05	0.00269	0.23027	0.22918	0.00057
	Medium car	km	0.17174	0.17006	4.6368e-06	0.00167	0.17474	0.17406	0.00036
		miles	0.27639	0.27368	1e-05	0.00269	0.28121	0.28012	0.00057
	Large car	km	0.21007	0.20839	4.6368e-06	0.00167	0.26828	0.2676	0.00036
		miles	0.33808	0.33537	1e-05	0.00269	0.43175	0.43066	0.00057
	Average car	km	0.17304	0.17136	4.6368e-06	0.00167	0.16272	0.16204	0.00036
		miles	0.27849	0.27578	1e-05	0.00269	0.26187	0.26078	0.00057
Activity	Type	Unit	kg CO2e	kg CO2e of CO2 per unit	kg CO2e of CH4 per unit	kg CO2e of N2O per unit			
Motorbike	Small	km	0.08319	0.08094	0.00175	0.0005			
		miles	0.13389	0.13027	0.00282	0.0008			
	Medium	km	0.10107	0.09826	0.00228	0.00053			
		miles	0.16265	0.15813	0.00367	0.00085			
	Large	km	0.13252	0.13072	0.00127	0.00053			
		miles	0.21326	0.21037	0.00204	0.00085			
	Average	km	0.11367	0.11138	0.00177	0.00052			
		miles	0.18293	0.17925	0.00284	0.00084			
FAQs									
Do the conversion factors take into account the age of vehicles?									
The conversion factors are based on information from the Department for Transport which regularly analyses the mix of cars on the road in the UK through Driver and Vehicle Licensing Agency (DVLA) records and automatic number plate recognition (ANPR) data. The conversion factors are updated each year to reflect changes in the spectrum of cars of different types and ages being driven.									
I know the average fuel consumption of my passenger vehicles in miles per gallon (mpg) and mileage; can this be used to improve my calculations?									
The mpg of the vehicle should be used to convert the distance travelled into litres of fuel used (refer to the 'Conversions' tab to find values to assist this calculation). The conversion factor for litres of fuel can then be applied. This will give a more accurate view of the actual emissions from the vehicle (the conversion factors for vehicle mileage represent the average mpg of the whole UK vehicle population). Therefore, knowing your vehicle’s actual mpg and using this value will yield more precise results.									
I know the average gCO2/km of my passenger vehicles as well as mileage; can this be used to improve my calculations?									
If you know the manufacturer's gCO2/km data, this may be used as an alternative (and more precise) calculation for your passenger vehicle’s emissions. The factors provided by manufacturers should be uplifted. Please see the methodology paper published alongside the Conversion Factors on the correct uplift factor to use.									
Which tables do I need to use to capture all the emissions resulting from the use of my plug-in electric vehicles (PHEVs)?									
